,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
141,2018-01-04T00:00:00.0000000Z,2018-01-05T00:00:00.0000000Z,2018-01-04T00:00:00.0000000Z,2018-01-04T23:59:48.0000000Z,15155.62,15430.27,14192.37,15143.67,15004.018592513,81329
142,2018-01-05T00:00:00.0000000Z,2018-01-06T00:00:00.0000000Z,2018-01-05T00:00:02.0000000Z,2018-01-05T23:59:59.0000000Z,15143.67,17200.0,14810.0,16928.0,16234.815964438001,77487
143,2018-01-06T00:00:00.0000000Z,2018-01-07T00:00:00.0000000Z,2018-01-06T00:00:02.0000000Z,2018-01-06T23:59:58.0000000Z,16927.99,17234.99,16220.0,17149.67,9503.654969226,47698
144,2018-01-07T00:00:00.0000000Z,2018-01-08T00:00:00.0000000Z,2018-01-07T00:00:01.0000000Z,2018-01-07T23:59:56.0000000Z,17142.43,17149.97,15707.16,16124.02,8631.926045779,47848
145,2018-01-08T00:00:00.0000000Z,2018-01-09T00:00:00.0000000Z,2018-01-08T00:00:03.0000000Z,2018-01-08T23:59:59.0000000Z,16173.98,16300.0,13900.0,14999.99,16676.432492349,79829
146,2018-01-09T00:00:00.0000000Z,2018-01-10T00:00:00.0000000Z,2018-01-09T00:00:00.0000000Z,2018-01-09T23:59:58.0000000Z,14999.99,15367.18,14123.97,14403.51,13886.567593062,70546
147,2018-01-10T00:00:00.0000000Z,2018-01-11T00:00:00.0000000Z,2018-01-10T00:00:00.0000000Z,2018-01-10T23:59:58.0000000Z,14403.51,14900.0,13412.0,14890.02,18479.02881162,83770
148,2018-01-11T00:00:00.0000000Z,2018-01-12T00:00:00.0000000Z,2018-01-11T00:00:00.0000000Z,2018-01-11T23:59:56.0000000Z,14899.99,14973.07,12800.0,13243.83,19630.075171067,90683
149,2018-01-12T00:00:00.0000000Z,2018-01-13T00:00:00.0000000Z,2018-01-12T00:00:02.0000000Z,2018-01-12T23:59:52.0000000Z,13249.99,14152.19,12807.27,13781.41,11819.253424348999,54074
150,2018-01-13T00:00:00.0000000Z,2018-01-14T00:00:00.0000000Z,2018-01-13T00:00:12.0000000Z,2018-01-13T23:59:59.0000000Z,13829.28,14619.1,13789.42,14197.78,6744.879162943001,36774
151,2018-01-14T00:00:00.0000000Z,2018-01-15T00:00:00.0000000Z,2018-01-14T00:00:02.0000000Z,2018-01-14T23:59:55.0000000Z,14197.78,14365.81,13072.22,13647.99,7164.473257825,36277
152,2018-01-15T00:00:00.0000000Z,2018-01-16T00:00:00.0000000Z,2018-01-15T00:00:00.0000000Z,2018-01-15T23:59:54.0000000Z,13647.99,14394.36,13429.25,13607.04,9449.633384819,40641
153,2018-01-16T00:00:00.0000000Z,2018-01-17T00:00:00.0000000Z,2018-01-16T00:00:00.0000000Z,2018-01-16T23:59:59.0000000Z,13581.66,13607.04,10162.0,11386.34,38784.535093032006,131724
154,2018-01-17T00:00:00.0000000Z,2018-01-18T00:00:00.0000000Z,2018-01-17T00:00:00.0000000Z,2018-01-17T23:59:59.0000000Z,11393.97,11794.07,9222.0,11191.35,41322.401714125,135558
155,2018-01-18T00:00:00.0000000Z,2018-01-19T00:00:00.0000000Z,2018-01-18T00:00:00.0000000Z,2018-01-18T23:59:56.0000000Z,11199.0,12146.0,10693.0,11247.57,22187.039517903,83331
156,2018-01-19T00:00:00.0000000Z,2018-01-20T00:00:00.0000000Z,2018-01-19T00:00:01.0000000Z,2018-01-19T23:59:52.0000000Z,11290.9,12050.39,11025.18,11552.0,13202.749967249,49675
157,2018-01-20T00:00:00.0000000Z,2018-01-21T00:00:00.0000000Z,2018-01-20T00:00:03.0000000Z,2018-01-20T23:59:46.0000000Z,11560.82,13052.12,11515.94,12775.99,10319.87334288,42260
158,2018-01-21T00:00:00.0000000Z,2018-01-22T00:00:00.0000000Z,2018-01-21T00:00:00.0000000Z,2018-01-21T23:59:59.0000000Z,12782.99,12791.88,11100.0,11558.87,11598.725068455,47832
159,2018-01-22T00:00:00.0000000Z,2018-01-23T00:00:00.0000000Z,2018-01-22T00:00:00.0000000Z,2018-01-22T23:59:59.0000000Z,11558.87,11910.78,10028.41,10808.99,17062.998357974,64521
160,2018-01-23T00:00:00.0000000Z,2018-01-24T00:00:00.0000000Z,2018-01-23T00:00:00.0000000Z,2018-01-23T23:59:53.0000000Z,10810.0,11409.87,9927.54,10851.82,17233.136496078998,62278
161,2018-01-24T00:00:00.0000000Z,2018-01-25T00:00:00.0000000Z,2018-01-24T00:00:08.0000000Z,2018-01-24T23:59:59.0000000Z,10848.99,11500.0,10488.13,11400.96,11572.655867409,40383
162,2018-01-25T00:00:00.0000000Z,2018-01-26T00:00:00.0000000Z,2018-01-25T00:00:00.0000000Z,2018-01-25T23:59:53.0000000Z,11400.98,11741.82,10868.57,11155.54,10212.844437279,38871
163,2018-01-26T00:00:00.0000000Z,2018-01-27T00:00:00.0000000Z,2018-01-26T00:00:02.0000000Z,2018-01-26T23:59:39.0000000Z,11140.01,11635.0,10263.32,11092.95,15061.598885061001,48897
164,2018-01-27T00:00:00.0000000Z,2018-01-28T00:00:00.0000000Z,2018-01-27T00:00:03.0000000Z,2018-01-27T23:59:54.0000000Z,11093.74,11630.47,10815.84,11446.54,10300.930508536,39789
165,2018-01-28T00:00:00.0000000Z,2018-01-29T00:00:00.0000000Z,2018-01-28T00:00:02.0000000Z,2018-01-28T23:59:36.0000000Z,11446.54,11989.15,11360.52,11685.58,9936.098851674,42653
166,2018-01-29T00:00:00.0000000Z,2018-01-30T00:00:00.0000000Z,2018-01-29T00:00:02.0000000Z,2018-01-29T23:59:59.0000000Z,11685.58,11820.01,10991.0,11162.62,9983.86123863,40879
167,2018-01-30T00:00:00.0000000Z,2018-01-31T00:00:00.0000000Z,2018-01-30T00:00:01.0000000Z,2018-01-30T23:59:59.0000000Z,11162.62,11222.36,9731.2,9971.0,21071.772121138998,57337
